* Resonalyze transfer coherence, 4 averaged sweeps, 2026-08-20 block A
* frequency_Hz<TAB>coherence (1/48-octave band means of the native linear grid)
20.0000	0.033079
20.2899	0.000368
20.5840	0.306808
20.8824	0.197987
21.1851	0.065151
21.4922	0.062529
21.8037	0.079839
22.1197	0.065075
22.4404	0.002120
22.7656	0.074972
23.0956	0.089622
23.4304	0.217739
23.7700	0.327228
24.1146	0.251245
24.4641	0.246276
24.8188	0.029725
25.1785	0.000000
25.5435	0.008183
25.9137	0.001421
26.2894	0.214421
26.6704	0.047596
27.0570	0.151261
27.4492	0.093843
27.8471	0.458855
28.2508	0.278997
28.6603	0.113486
29.0757	0.300168
29.4971	0.114975
29.9247	0.152737
30.3585	0.000000
30.7985	0.000000
31.2450	0.028508
31.6979	0.045595
32.1573	0.027566
32.6235	0.033404
33.0963	0.011190
33.5761	0.096085
34.0628	0.000000
34.5565	0.013317
35.0574	0.133006
35.5656	0.115243
36.0811	0.072999
36.6041	0.277210
37.1347	0.258472
37.6730	0.139320
38.2191	0.038776
38.7731	0.064750
39.3351	0.000000
39.9052	0.105283
40.4837	0.108055
41.0705	0.095704
41.6658	0.237914
42.2698	0.021156
42.8825	0.000570
43.5041	0.236431
44.1347	0.035751
44.7744	0.004337
45.4234	0.058662
46.0819	0.046001
46.7498	0.074584
47.4275	0.203580
48.1149	0.229487
48.8124	0.275522
49.5199	0.240469
50.2377	0.236842
50.9659	0.097271
51.7047	0.240260
52.4542	0.330700
53.2145	0.352050
53.9859	0.181982
54.7684	0.347248
55.5623	0.505798
56.3677	0.538696
57.1847	0.509468
58.0136	0.675757
58.8545	0.724852
59.7077	0.701839
60.5731	0.748947
61.4511	0.812581
62.3419	0.805372
63.2456	0.809689
64.1623	0.821567
65.0924	0.894249
66.0359	0.856033
66.9931	0.927313
67.9642	0.919040
68.9493	0.943970
69.9488	0.927617
70.9627	0.955291
71.9913	0.962845
73.0348	0.961181
74.0935	0.967941
75.1675	0.969935
76.2570	0.976239
77.3624	0.979887
78.4838	0.977293
79.6214	0.977478
80.7756	0.973366
81.9464	0.961998
83.1343	0.959369
84.3393	0.962741
85.5618	0.934432
86.8021	0.920926
88.0603	0.928160
89.3367	0.896450
90.6317	0.834980
91.9454	0.680161
93.2782	0.539407
94.6303	0.298444
96.0019	0.587357
97.3935	0.765774
98.8052	0.911068
100.2374	0.967589
101.6904	0.986465
103.1644	0.991279
104.6598	0.995606
106.1769	0.996893
107.7159	0.998093
109.2773	0.998506
110.8613	0.998201
112.4683	0.999156
114.0985	0.999351
115.7524	0.999307
117.4303	0.999598
119.1324	0.999710
120.8593	0.999695
122.6112	0.999764
124.3884	0.999773
126.1915	0.999788
128.0206	0.999841
129.8763	0.999826
131.7589	0.999885
133.6688	0.999939
135.6063	0.999908
137.5720	0.999938
139.5661	0.999936
141.5892	0.999956
143.6415	0.999956
145.7236	0.999963
147.8359	0.999956
149.9788	0.999968
152.1528	0.999972
154.3583	0.999967
156.5958	0.999977
158.8656	0.999976
161.1684	0.999978
163.5046	0.999977
165.8746	0.999981
168.2790	0.999986
170.7183	0.999983
173.1929	0.999982
175.7033	0.999982
178.2502	0.999984
180.8340	0.999980
183.4552	0.999986
186.1144	0.999979
188.8122	0.999987
191.5490	0.999987
194.3256	0.999988
197.1424	0.999987
200.0000	0.999991
202.8990	0.999990
205.8401	0.999991
208.8238	0.999992
211.8507	0.999994
214.9216	0.999992
218.0369	0.999992
221.1974	0.999989
224.4037	0.999990
227.6565	0.999989
230.9564	0.999988
234.3042	0.999988
237.7004	0.999988
241.1460	0.999985
244.6414	0.999980
248.1876	0.999982
251.7851	0.999982
255.4348	0.999982
259.1373	0.999978
262.8936	0.999970
266.7043	0.999956
270.5702	0.999958
274.4922	0.999941
278.4710	0.999930
282.5075	0.999933
286.6025	0.999937
290.7569	0.999945
294.9715	0.999949
299.2471	0.999946
303.5848	0.999947
307.9853	0.999953
312.4496	0.999948
316.9786	0.999927
321.5733	0.999930
326.2346	0.999905
330.9634	0.999866
335.7608	0.999820
340.6277	0.999736
345.5652	0.999723
350.5742	0.999687
355.6559	0.999739
360.8112	0.999845
366.0412	0.999901
371.3471	0.999920
376.7298	0.999938
382.1906	0.999938
387.7305	0.999927
393.3508	0.999927
399.0525	0.999912
404.8368	0.999918
410.7050	0.999911
416.6583	0.999919
422.6978	0.999921
428.8249	0.999938
435.0408	0.999950
441.3468	0.999969
447.7442	0.999971
454.2344	0.999970
460.8186	0.999968
467.4983	0.999963
474.2747	0.999959
481.1495	0.999947
488.1238	0.999936
495.1993	0.999929
502.3773	0.999942
509.6593	0.999952
517.0470	0.999947
524.5417	0.999952
532.1450	0.999954
539.8586	0.999960
547.6839	0.999959
555.6227	0.999962
563.6766	0.999964
571.8472	0.999945
580.1362	0.999920
588.5454	0.999906
597.0765	0.999885
605.7313	0.999884
614.5115	0.999862
623.4189	0.999760
632.4555	0.999346
641.6231	0.998331
650.9236	0.999333
660.3588	0.999622
669.9309	0.999533
679.6417	0.999321
689.4932	0.998699
699.4876	0.998298
709.6268	0.999001
719.9130	0.999413
730.3483	0.999663
740.9348	0.999631
751.6748	0.999536
762.5705	0.999052
773.6241	0.998980
784.8380	0.999672
796.2143	0.999815
807.7556	0.999848
819.4642	0.999822
831.3425	0.999761
843.3930	0.999564
855.6182	0.999300
868.0205	0.999032
880.6027	0.999120
893.3672	0.999491
906.3167	0.999706
919.4540	0.999825
932.7817	0.999853
946.3025	0.999818
960.0194	0.999787
973.9351	0.999758
988.0524	0.999676
1002.3745	0.999537
1016.9041	0.998983
1031.6443	0.994704
